carrier,delay,origin,count,destination
9E,-6.0,BNA,25.0,BOS
9E,-6.0,BNA,2.0,DTW
9E,-6.0,BNA,49.0,JFK
9E,-6.0,BNA,96.0,LGA
9E,-6.0,BNA,2.0,MCO
9E,-6.0,BNA,1.0,MSP
AA,-14.0,BNA,130.0,CLT
AA,-14.0,BNA,38.0,LAX
AA,-14.0,BNA,31.0,MIA
AA,-14.0,BNA,80.0,PHL
AS,-10.0,BNA,31.0,SEA
B6,-14.5,BNA,60.0,BOS
DL,-11.0,BNA,276.0,ATL
DL,-11.0,BNA,92.0,DTW
DL,-11.0,BNA,2.0,LAS
DL,-11.0,BNA,31.0,LAX
DL,-11.0,BNA,22.0,MSP
DL,-11.0,BNA,27.0,SEA
DL,-11.0,BNA,31.0,SLC
EV,26.0,BNA,15.0,EWR
EV,26.0,BNA,2.0,IAH
EV,26.0,BNA,2.0,LGA
EV,26.0,BNA,1.0,ORD
F9,-10.0,BNA,31.0,DEN
F9,-10.0,BNA,18.0,LAS
F9,-10.0,BNA,18.0,MCO
F9,-10.0,BNA,13.0,TPA
MQ,-3.5,BNA,31.0,JFK
MQ,-3.5,BNA,26.0,LGA
MQ,-3.5,BNA,44.0,ORD
OH,8.0,BNA,36.0,CLT
OH,8.0,BNA,27.0,LGA
OO,-5.0,BNA,62.0,DEN
OO,-5.0,BNA,40.0,DTW
OO,-5.0,BNA,58.0,IAH
OO,-5.0,BNA,87.0,MSP
OO,-5.0,BNA,292.0,ORD
UA,-10.0,BNA,28.0,EWR
UA,-10.0,BNA,40.0,IAH
UA,-10.0,BNA,17.0,ORD
UA,-10.0,BNA,37.0,SFO
VX,7.0,BNA,31.0,SFO
WN,-8.0,BNA,64.0,AUS
WN,-8.0,BNA,60.0,BOS
WN,-8.0,BNA,174.0,BWI
WN,-8.0,BNA,62.0,CLE
WN,-8.0,BNA,31.0,CLT
WN,-8.0,BNA,120.0,DAL
WN,-8.0,BNA,120.0,DEN
WN,-8.0,BNA,57.0,DTW
WN,-8.0,BNA,118.0,HOU
WN,-8.0,BNA,64.0,JAX
WN,-8.0,BNA,84.0,LAS
WN,-8.0,BNA,86.0,LAX
WN,-8.0,BNA,90.0,LGA
WN,-8.0,BNA,89.0,MCI
WN,-8.0,BNA,127.0,MCO
WN,-8.0,BNA,179.0,MDW
WN,-8.0,BNA,62.0,MKE
WN,-8.0,BNA,31.0,MSP
WN,-8.0,BNA,116.0,MSY
WN,-8.0,BNA,31.0,OAK
WN,-8.0,BNA,60.0,PHL
WN,-8.0,BNA,78.0,PHX
WN,-8.0,BNA,31.0,PIT
WN,-8.0,BNA,62.0,PNS
WN,-8.0,BNA,31.0,SAN
WN,-8.0,BNA,55.0,SAT
WN,-8.0,BNA,110.0,TPA
YV,-11.5,BNA,40.0,IAH
YX,-6.0,BNA,22.0,BOS
YX,-6.0,BNA,63.0,CLT
YX,-6.0,BNA,75.0,EWR
YX,-6.0,BNA,28.0,JFK
YX,-6.0,BNA,116.0,LGA
YX,-6.0,BNA,61.0,MIA
YX,-6.0,BNA,30.0,ORD
YX,-6.0,BNA,60.0,PHL
AA,-6.5,BOI,36.0,PHX
AS,-19.0,BOI,31.0,SEA
DL,-20.0,BOI,16.0,MSP
DL,-20.0,BOI,31.0,SLC
G4,1.0,BOI,9.0,IWA
G4,1.0,BOI,8.0,LAS
G4,1.0,BOI,10.0,LAX
MQ,-20.0,BOI,32.0,ORD
OO,-9.0,BOI,62.0,DEN
OO,-9.0,BOI,70.0,LAX
OO,-9.0,BOI,30.0,MSP
OO,-9.0,BOI,38.0,ORD
OO,-9.0,BOI,65.0,PDX
OO,-9.0,BOI,31.0,SAN
OO,-9.0,BOI,283.0,SEA
OO,-9.0,BOI,146.0,SFO
OO,-9.0,BOI,135.0,SLC
UA,-16.5,BOI,61.0,DEN
UA,-16.5,BOI,1.0,SFO
WN,-9.0,BOI,62.0,DEN
WN,-9.0,BOI,49.0,GEG
WN,-9.0,BOI,62.0,LAS
WN,-9.0,BOI,63.0,OAK
WN,-9.0,BOI,32.0,PHX
WN,-9.0,BOI,31.0,SAN
WN,-9.0,BOI,31.0,SMF
YV,0.0,BOI,29.0,IAH
YV,0.0,BOI,62.0,PHX
YX,189.5,BOI,2.0,IAH
9E,-8.0,BOS,25.0,BNA
9E,-8.0,BOS,65.0,BUF
9E,-8.0,BOS,7.0,IND
9E,-8.0,BOS,159.0,JFK
9E,-8.0,BOS,22.0,MCI
9E,-8.0,BOS,1.0,MKE
9E,-8.0,BOS,53.0,PIT
AA,-10.0,BOS,255.0,CLT
AA,-10.0,BOS,31.0,JFK
AA,-10.0,BOS,153.0,LAX
AA,-10.0,BOS,300.0,LGA
AA,-10.0,BOS,217.0,MIA
AA,-10.0,BOS,224.0,ORD
AA,-10.0,BOS,231.0,PHL
AA,-10.0,BOS,111.0,PHX
AS,-21.0,BOS,23.0,PDX
AS,-21.0,BOS,31.0,SAN
AS,-21.0,BOS,53.0,SEA
B6,-4.0,BOS,147.0,ATL
B6,-4.0,BOS,31.0,AUS
B6,-4.0,BOS,60.0,BNA
B6,-4.0,BOS,106.0,BUF
B6,-4.0,BOS,157.0,BWI
B6,-4.0,BOS,85.0,CLE
B6,-4.0,BOS,55.0,CLT
B6,-4.0,BOS,58.0,DEN
